variable,source,type,description,v1,v2,v3
r_ecoy_d_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,Y
r_eco1_d_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Reading -- Free Meals Students,Y,N,Y
r_ti1y_d_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,Y
r_spey_d_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Reading -- Special Ed Students,Y,N,Y
m_all_d_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- All Students,Y,N,Y
m_ethh_d_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- Hispanic/Latino Students,Y,N,Y
m_etha_d_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- Asian Students,Y,N,Y
m_ethb_d_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- Black or African American Students,Y,N,Y
m_ethw_d_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- White Students,Y,N,Y
m_ecoy_d_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,Y
m_eco1_d_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- Free Meals Students,Y,N,Y
m_ti1y_d_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,Y
m_spey_d_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- Special Ed Students,Y,N,Y
r_all_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- All Students,Y,N,N
r_ethh_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- Hispanic/Latino Students,Y,N,N
r_etha_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- Asian Students,Y,N,N
r_ethb_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- Black or African American Students,Y,N,N
r_ethw_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- White Students,Y,N,N
r_ecoy_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,N
r_eco1_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- Free Meals Students,Y,N,N
r_ti1y_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,N
r_spey_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- Special Ed Students,Y,N,N
m_all_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- All Students,Y,N,N
m_ethh_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- Hispanic/Latino Students,Y,N,N
m_etha_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- Asian Students,Y,N,N
m_ethb_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- Black or African American Students,Y,N,N
m_ethw_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- White Students,Y,N,N
m_ecoy_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,N
m_eco1_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- Free Meals Students,Y,N,N
m_ti1y_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,N
m_spey_rs_g7_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- Special Ed Students,Y,N,N
r_all_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Reading -- All Students,Y,N,Y
r_ethh_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Reading -- Hispanic/Latino Students,Y,N,Y
r_etha_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Reading -- Asian Students,Y,N,Y
r_ethb_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Reading -- Black or African American Students,Y,N,Y
r_ethw_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Reading -- White Students,Y,N,Y
r_ecoy_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,Y
r_eco1_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Reading -- Free Meals Students,Y,N,Y
r_ti1y_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,Y
r_spey_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Reading -- Special Ed Students,Y,N,Y
m_all_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- All Students,Y,N,Y
m_ethh_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- Hispanic/Latino Students,Y,N,Y
m_etha_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- Asian Students,Y,N,Y
m_ethb_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- Black or African American Students,Y,N,Y
m_ethw_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- White Students,Y,N,Y
m_ecoy_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,Y
m_eco1_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- Free Meals Students,Y,N,Y
m_ti1y_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,Y
m_spey_d_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,# Tested -- Mathematics -- Special Ed Students,Y,N,Y
r_all_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- All Students,Y,N,N
r_ethh_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- Hispanic/Latino Students,Y,N,N
r_etha_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- Asian Students,Y,N,N
r_ethb_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- Black or African American Students,Y,N,N
r_ethw_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- White Students,Y,N,N
r_ecoy_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,N
r_eco1_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- Free Meals Students,Y,N,N
r_ti1y_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,N
r_spey_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Reading -- Special Ed Students,Y,N,N
m_all_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- All Students,Y,N,N
m_ethh_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- Hispanic/Latino Students,Y,N,N
m_etha_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- Asian Students,Y,N,N
m_ethb_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- Black or African American Students,Y,N,N
m_ethw_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- White Students,Y,N,N
m_ecoy_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,N
m_eco1_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- Free Meals Students,Y,N,N
m_ti1y_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,N
m_spey_rs_g8_2019,DATA_STAAR_DISTRICT_2019.csv,Numeric,Average Scale Score -- Mathematics -- Special Ed Students,Y,N,N
r_all_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- All Students,Y,N,Y
r_ethh_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Hispanic/Latino Students,Y,N,Y
r_etha_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Asian Students,Y,N,Y
r_ethb_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Black or African American Students,Y,N,Y
r_ethw_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- White Students,Y,N,Y
r_ecoy_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,Y
r_eco1_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Free Meals Students,Y,N,Y
r_ti1y_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,Y
r_spey_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Special Ed Students,Y,N,Y
m_all_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- All Students,Y,N,Y
m_ethh_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Hispanic/Latino Students,Y,N,Y
m_etha_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Asian Students,Y,N,Y
m_ethb_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Black or African American Students,Y,N,Y
m_ethw_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- White Students,Y,N,Y
m_ecoy_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,Y
m_eco1_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Free Meals Students,Y,N,Y
m_ti1y_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,Y
m_spey_d_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Special Ed Students,Y,N,Y
r_all_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- All Students,Y,N,N
r_ethh_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Hispanic/Latino Students,Y,N,N
r_etha_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Asian Students,Y,N,N
r_ethb_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Black or African American Students,Y,N,N
r_ethw_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- White Students,Y,N,N
r_ecoy_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,N
r_eco1_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Free Meals Students,Y,N,N
r_ti1y_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,N
r_spey_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Special Ed Students,Y,N,N
m_all_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- All Students,Y,N,N
m_ethh_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Hispanic/Latino Students,Y,N,N
m_etha_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Asian Students,Y,N,N
m_ethb_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Black or African American Students,Y,N,N
m_ethw_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- White Students,Y,N,N
m_ecoy_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,N
m_eco1_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Free Meals Students,Y,N,N
m_ti1y_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,N
m_spey_rs_g3_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Special Ed Students,Y,N,N
r_all_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- All Students,Y,N,Y
r_ethh_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Hispanic/Latino Students,Y,N,Y
r_etha_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Asian Students,Y,N,Y
r_ethb_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Black or African American Students,Y,N,Y
r_ethw_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- White Students,Y,N,Y
r_ecoy_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,Y
r_eco1_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Free Meals Students,Y,N,Y
r_ti1y_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,Y
r_spey_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Special Ed Students,Y,N,Y
m_all_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- All Students,Y,N,Y
m_ethh_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Hispanic/Latino Students,Y,N,Y
m_etha_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Asian Students,Y,N,Y
m_ethb_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Black or African American Students,Y,N,Y
m_ethw_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- White Students,Y,N,Y
m_ecoy_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,Y
m_eco1_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Free Meals Students,Y,N,Y
m_ti1y_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,Y
m_spey_d_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Special Ed Students,Y,N,Y
r_all_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- All Students,Y,N,N
r_ethh_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Hispanic/Latino Students,Y,N,N
r_etha_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Asian Students,Y,N,N
r_ethb_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Black or African American Students,Y,N,N
r_ethw_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- White Students,Y,N,N
r_ecoy_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,N
r_eco1_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Free Meals Students,Y,N,N
r_ti1y_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,N
r_spey_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Special Ed Students,Y,N,N
m_all_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- All Students,Y,N,N
m_ethh_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Hispanic/Latino Students,Y,N,N
m_etha_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Asian Students,Y,N,N
m_ethb_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Black or African American Students,Y,N,N
m_ethw_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- White Students,Y,N,N
m_ecoy_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,N
m_eco1_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Free Meals Students,Y,N,N
m_ti1y_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,N
m_spey_rs_g4_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Special Ed Students,Y,N,N
r_all_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- All Students,Y,N,Y
r_ethh_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Hispanic/Latino Students,Y,N,Y
r_etha_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Asian Students,Y,N,Y
r_ethb_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Black or African American Students,Y,N,Y
r_ethw_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- White Students,Y,N,Y
r_ecoy_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,Y
r_eco1_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Free Meals Students,Y,N,Y
r_ti1y_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,Y
r_spey_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Special Ed Students,Y,N,Y
m_all_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- All Students,Y,N,Y
m_ethh_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Hispanic/Latino Students,Y,N,Y
m_etha_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Asian Students,Y,N,Y
m_ethb_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Black or African American Students,Y,N,Y
m_ethw_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- White Students,Y,N,Y
m_ecoy_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,Y
m_eco1_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Free Meals Students,Y,N,Y
m_ti1y_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,Y
m_spey_d_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Special Ed Students,Y,N,Y
r_all_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- All Students,Y,N,N
r_ethh_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Hispanic/Latino Students,Y,N,N
r_etha_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Asian Students,Y,N,N
r_ethb_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Black or African American Students,Y,N,N
r_ethw_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- White Students,Y,N,N
r_ecoy_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,N
r_eco1_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Free Meals Students,Y,N,N
r_ti1y_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,N
r_spey_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Reading -- Special Ed Students,Y,N,N
m_all_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- All Students,Y,N,N
m_ethh_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Hispanic/Latino Students,Y,N,N
m_etha_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Asian Students,Y,N,N
m_ethb_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Black or African American Students,Y,N,N
m_ethw_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- White Students,Y,N,N
m_ecoy_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,N
m_eco1_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Free Meals Students,Y,N,N
m_ti1y_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,N
m_spey_rs_g5_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,Average Scale Score -- Mathematics -- Special Ed Students,Y,N,N
r_all_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- All Students,Y,N,Y
r_ethh_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Hispanic/Latino Students,Y,N,Y
r_etha_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Asian Students,Y,N,Y
r_ethb_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Black or African American Students,Y,N,Y
r_ethw_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- White Students,Y,N,Y
r_ecoy_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Econ Disadv Students Codes: 1 2 9,Y,N,Y
r_eco1_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Free Meals Students,Y,N,Y
r_ti1y_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Title-I Participant Students Codes: 6 7 9,Y,N,Y
r_spey_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Reading -- Special Ed Students,Y,N,Y
m_all_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- All Students,Y,N,Y
m_ethh_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Hispanic/Latino Students,Y,N,Y
m_etha_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Asian Students,Y,N,Y
m_ethb_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Black or African American Students,Y,N,Y
m_ethw_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- White Students,Y,N,Y
m_ecoy_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Econ Disadv Students Codes: 1 2 9,Y,N,Y
m_eco1_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Free Meals Students,Y,N,Y
m_ti1y_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Title-I Participant Students Codes: 6 7 9,Y,N,Y
m_spey_d_g6_2021,DATA_STAAR_DISTRICT_2021.csv,Numeric,# Tested -- Mathematics -- Special Ed Students,Y,N,Y
