feature,method,model,score,score_type,selected,Method
% White Pop 10,Permutation Importance,Random Forest,0.004188481675392697,importances_mean,1,Permutation Importance - Random Forest
% Black Pop 10,Permutation Importance,Random Forest,0.006282722513089034,importances_mean,1,Permutation Importance - Random Forest
% Asian Pop 10,Permutation Importance,Random Forest,0.007329842931937214,importances_mean,1,Permutation Importance - Random Forest
% Hispanic Pop 10,Permutation Importance,Random Forest,-0.006282722513088967,importances_mean,0,Permutation Importance - Random Forest
% Male Pop 10,Permutation Importance,Random Forest,-0.006282722513088967,importances_mean,0,Permutation Importance - Random Forest
% Female Pop 10,Permutation Importance,Random Forest,0.005235602094240876,importances_mean,1,Permutation Importance - Random Forest
% Age 0-4 Pop 10,Permutation Importance,Random Forest,0.001047120418848202,importances_mean,1,Permutation Importance - Random Forest
% Age 5-9 Pop 10,Permutation Importance,Random Forest,0.0020942408376963596,importances_mean,1,Permutation Importance - Random Forest
% Age 10-14 Pop 10,Permutation Importance,Random Forest,-0.0010471204188481353,importances_mean,0,Permutation Importance - Random Forest
% Age 15-19 Pop 10,Permutation Importance,Random Forest,0.004188481675392697,importances_mean,1,Permutation Importance - Random Forest
% Age 20-24 Pop 10,Permutation Importance,Random Forest,0.007329842931937192,importances_mean,1,Permutation Importance - Random Forest
% Age 25-34 Pop 10,Permutation Importance,Random Forest,-0.00418848167539263,importances_mean,0,Permutation Importance - Random Forest
% Age 35-44 Pop 10,Permutation Importance,Random Forest,-0.0010471204188481575,importances_mean,0,Permutation Importance - Random Forest
% Age 45-54 Pop 10,Permutation Importance,Random Forest,-0.002094240837696293,importances_mean,0,Permutation Importance - Random Forest
% Age 55-64 Pop 10,Permutation Importance,Random Forest,-0.003141361256544473,importances_mean,0,Permutation Importance - Random Forest
% Age 65-74 Pop 10,Permutation Importance,Random Forest,-0.00418848167539263,importances_mean,0,Permutation Importance - Random Forest
% Age 75-84 Pop 10,Permutation Importance,Random Forest,-0.002094240837696315,importances_mean,0,Permutation Importance - Random Forest
% Age 85-Up Pop 10,Permutation Importance,Random Forest,-0.0020942408376963375,importances_mean,0,Permutation Importance - Random Forest
% HH 1 Male 10,Permutation Importance,Random Forest,-0.007329842931937147,importances_mean,0,Permutation Importance - Random Forest
% HH 1 Female 10,Permutation Importance,Random Forest,-0.0010471204188481353,importances_mean,0,Permutation Importance - Random Forest
% HH Married-Child 10,Permutation Importance,Random Forest,-0.0010471204188481353,importances_mean,0,Permutation Importance - Random Forest
% HH Married-noChild 10,Permutation Importance,Random Forest,0.004188481675392697,importances_mean,1,Permutation Importance - Random Forest
% HH Male-Child 10,Permutation Importance,Random Forest,0.004188481675392697,importances_mean,1,Permutation Importance - Random Forest
% HH Female-Child 10,Permutation Importance,Random Forest,0.0031413612565445613,importances_mean,1,Permutation Importance - Random Forest
% Housing Vacant 10,Permutation Importance,Random Forest,0.001047120418848202,importances_mean,1,Permutation Importance - Random Forest
% Housing Owner Occup 10,Permutation Importance,Random Forest,-0.002094240837696315,importances_mean,0,Permutation Importance - Random Forest
% Housing Renter Occup 10,Permutation Importance,Random Forest,-0.003141361256544473,importances_mean,0,Permutation Importance - Random Forest
Total Schools Diff,Permutation Importance,Random Forest,0.0010471204188481798,importances_mean,1,Permutation Importance - Random Forest
Total Students Diff,Permutation Importance,Random Forest,-0.008376963350785327,importances_mean,0,Permutation Importance - Random Forest
% Operational Schools Diff,Permutation Importance,Random Forest,-0.00418848167539263,importances_mean,0,Permutation Importance - Random Forest
% Title 1 School-wide Diff,Permutation Importance,Random Forest,0.0010471204188481798,importances_mean,1,Permutation Importance - Random Forest
% Title 1 Eligible Diff,Permutation Importance,Random Forest,-0.0010471204188481353,importances_mean,0,Permutation Importance - Random Forest
Teachers:Students Diff,Permutation Importance,Random Forest,-0.008376963350785327,importances_mean,0,Permutation Importance - Random Forest
Staff:Students Diff,Permutation Importance,Random Forest,-0.013612565445026181,importances_mean,0,Permutation Importance - Random Forest
% Free Lunch Diff,Permutation Importance,Random Forest,-0.012565445026178002,importances_mean,0,Permutation Importance - Random Forest
% Reduced-price Lunch Diff,Permutation Importance,Random Forest,0.004188481675392697,importances_mean,1,Permutation Importance - Random Forest
% Asian Diff,Permutation Importance,Random Forest,-0.009424083769633485,importances_mean,0,Permutation Importance - Random Forest
% Hispanic Diff,Permutation Importance,Random Forest,-0.012565445026178002,importances_mean,0,Permutation Importance - Random Forest
% Black Diff,Permutation Importance,Random Forest,0.005235602094240876,importances_mean,1,Permutation Importance - Random Forest
% White Diff,Permutation Importance,Random Forest,-0.004188481675392652,importances_mean,0,Permutation Importance - Random Forest
% Grades 1-8 Diff,Permutation Importance,Random Forest,-0.0010471204188481132,importances_mean,0,Permutation Importance - Random Forest
% Grades 9-12 Diff,Permutation Importance,Random Forest,0.005235602094240832,importances_mean,1,Permutation Importance - Random Forest
% Prek Diff,Permutation Importance,Random Forest,-0.02617801047120418,importances_mean,0,Permutation Importance - Random Forest
% Kinder Diff,Permutation Importance,Random Forest,-0.003141361256544473,importances_mean,0,Permutation Importance - Random Forest
% ADA Diff,Permutation Importance,Random Forest,-0.00523560209424081,importances_mean,0,Permutation Importance - Random Forest
% Tested Reading G3 Diff,Permutation Importance,Random Forest,-0.002094240837696315,importances_mean,0,Permutation Importance - Random Forest
% Tested Reading G4 Diff,Permutation Importance,Random Forest,2.2204460492503132e-17,importances_mean,1,Permutation Importance - Random Forest
% Tested Reading G5 Diff,Permutation Importance,Random Forest,-0.003141361256544495,importances_mean,0,Permutation Importance - Random Forest
% Tested Reading G6 Diff,Permutation Importance,Random Forest,0.0020942408376963596,importances_mean,1,Permutation Importance - Random Forest
% Tested Reading G7 Diff,Permutation Importance,Random Forest,-0.003141361256544473,importances_mean,0,Permutation Importance - Random Forest
% Tested Reading G8 Diff,Permutation Importance,Random Forest,-0.002094240837696315,importances_mean,0,Permutation Importance - Random Forest
Locale_11-City: Large,Permutation Importance,Random Forest,-0.00418848167539263,importances_mean,0,Permutation Importance - Random Forest
Locale_12-City: Mid-size,Permutation Importance,Random Forest,0.0,importances_mean,0,Permutation Importance - Random Forest
Locale_13-City: Small,Permutation Importance,Random Forest,0.0,importances_mean,0,Permutation Importance - Random Forest
Locale_21-Suburb: Large,Permutation Importance,Random Forest,0.0,importances_mean,0,Permutation Importance - Random Forest
Locale_22-Suburb: Mid-size,Permutation Importance,Random Forest,0.0,importances_mean,0,Permutation Importance - Random Forest
Locale_23-Suburb: Small,Permutation Importance,Random Forest,0.0,importances_mean,0,Permutation Importance - Random Forest
Locale_31-Town: Fringe,Permutation Importance,Random Forest,0.0,importances_mean,0,Permutation Importance - Random Forest
Locale_32-Town: Distant,Permutation Importance,Random Forest,0.0,importances_mean,0,Permutation Importance - Random Forest
Locale_33-Town: Remote,Permutation Importance,Random Forest,-0.0010471204188481575,importances_mean,0,Permutation Importance - Random Forest
Locale_41-Rural: Fringe,Permutation Importance,Random Forest,-0.002094240837696315,importances_mean,0,Permutation Importance - Random Forest
Locale_42-Rural: Distant,Permutation Importance,Random Forest,-0.002094240837696315,importances_mean,0,Permutation Importance - Random Forest
Locale_43-Rural: Remote,Permutation Importance,Random Forest,0.0,importances_mean,0,Permutation Importance - Random Forest
Labor Force Diff,Permutation Importance,Ridge,0.03560209424083769,importances_mean,1,Permutation Importance - Ridge
Employed Diff,Permutation Importance,Ridge,0.009424083769633529,importances_mean,1,Permutation Importance - Ridge
Unemployed Level Diff,Permutation Importance,Ridge,0.009424083769633551,importances_mean,1,Permutation Importance - Ridge
Unemployed Rate Diff,Permutation Importance,Ridge,0.02198952879581153,importances_mean,1,Permutation Importance - Ridge
Median Age 10,Permutation Importance,Ridge,0.006282722513089057,importances_mean,1,Permutation Importance - Ridge
Median Age Male 10,Permutation Importance,Ridge,0.006282722513089057,importances_mean,1,Permutation Importance - Ridge
Median Age Female 10,Permutation Importance,Ridge,0.006282722513089057,importances_mean,1,Permutation Importance - Ridge
# of Households 10,Permutation Importance,Ridge,0.005235602094240899,importances_mean,1,Permutation Importance - Ridge
Avg Household Size 10,Permutation Importance,Ridge,0.0010471204188481798,importances_mean,1,Permutation Importance - Ridge
# of Families 10,Permutation Importance,Ridge,0.004188481675392719,importances_mean,1,Permutation Importance - Ridge
Avg Family Size 10,Permutation Importance,Ridge,0.0010471204188481798,importances_mean,1,Permutation Importance - Ridge
# of Housing Units 10,Permutation Importance,Ridge,0.009424083769633529,importances_mean,1,Permutation Importance - Ridge
County Population,Permutation Importance,Ridge,0.005235602094240899,importances_mean,1,Permutation Importance - Ridge
CARES ESSER I 20,Permutation Importance,Ridge,0.009424083769633551,importances_mean,1,Permutation Importance - Ridge
CRRSA ESSER II 21,Permutation Importance,Ridge,-0.002094240837696315,importances_mean,0,Permutation Importance - Ridge
ARP ESSER III 21,Permutation Importance,Ridge,2.2204460492503132e-17,importances_mean,1,Permutation Importance - Ridge
ESSER-SUPP 22,Permutation Importance,Ridge,0.003141361256544539,importances_mean,1,Permutation Importance - Ridge
ESSER-SUPP 23,Permutation Importance,Ridge,0.003141361256544539,importances_mean,1,Permutation Importance - Ridge
% County Infected 09/28/20,Permutation Importance,Ridge,0.0167539267015707,importances_mean,1,Permutation Importance - Ridge
% County Deaths 09/28/20,Permutation Importance,Ridge,0.017801047120418856,importances_mean,1,Permutation Importance - Ridge
% County Infected 10/30/20,Permutation Importance,Ridge,0.00837696335078535,importances_mean,1,Permutation Importance - Ridge
% County Deaths 10/30/20,Permutation Importance,Ridge,0.0052356020942408545,importances_mean,1,Permutation Importance - Ridge
% County Infected 01/29/21,Permutation Importance,Ridge,0.009424083769633529,importances_mean,1,Permutation Importance - Ridge
% County Deaths 01/29/21,Permutation Importance,Ridge,0.007329842931937214,importances_mean,1,Permutation Importance - Ridge
% On Campus 09/28/20,Permutation Importance,Ridge,0.010471204188481686,importances_mean,1,Permutation Importance - Ridge
% On Campus 10/30/20,Permutation Importance,Ridge,0.05340314136125655,importances_mean,1,Permutation Importance - Ridge
% On Campus 01/29/21,Permutation Importance,Ridge,0.04397905759162307,importances_mean,1,Permutation Importance - Ridge
% White Pop 10,Permutation Importance,Ridge,0.0178010471204189,importances_mean,1,Permutation Importance - Ridge
% Black Pop 10,Permutation Importance,Ridge,0.006282722513089057,importances_mean,1,Permutation Importance - Ridge
% Asian Pop 10,Permutation Importance,Ridge,0.003141361256544517,importances_mean,1,Permutation Importance - Ridge
% Hispanic Pop 10,Permutation Importance,Ridge,0.012565445026178046,importances_mean,1,Permutation Importance - Ridge
% Male Pop 10,Permutation Importance,Ridge,4.4408920985006264e-17,importances_mean,1,Permutation Importance - Ridge
% Female Pop 10,Permutation Importance,Ridge,4.4408920985006264e-17,importances_mean,1,Permutation Importance - Ridge
% Age 0-4 Pop 10,Permutation Importance,Ridge,0.011518324607329888,importances_mean,1,Permutation Importance - Ridge
% Age 5-9 Pop 10,Permutation Importance,Ridge,-0.003141361256544473,importances_mean,0,Permutation Importance - Ridge
% Age 10-14 Pop 10,Permutation Importance,Ridge,0.013612565445026226,importances_mean,1,Permutation Importance - Ridge
% Age 15-19 Pop 10,Permutation Importance,Ridge,0.007329842931937214,importances_mean,1,Permutation Importance - Ridge
% Age 20-24 Pop 10,Permutation Importance,Ridge,0.032460732984293195,importances_mean,1,Permutation Importance - Ridge
% Age 25-34 Pop 10,Permutation Importance,Ridge,0.014659685863874361,importances_mean,1,Permutation Importance - Ridge
% Age 35-44 Pop 10,Permutation Importance,Ridge,0.006282722513089034,importances_mean,1,Permutation Importance - Ridge
% Age 45-54 Pop 10,Permutation Importance,Ridge,0.001047120418848202,importances_mean,1,Permutation Importance - Ridge
% Age 55-64 Pop 10,Permutation Importance,Ridge,0.004188481675392675,importances_mean,1,Permutation Importance - Ridge
% Age 65-74 Pop 10,Permutation Importance,Ridge,0.026178010471204206,importances_mean,1,Permutation Importance - Ridge
% Age 75-84 Pop 10,Permutation Importance,Ridge,0.0010471204188481798,importances_mean,1,Permutation Importance - Ridge
% Age 85-Up Pop 10,Permutation Importance,Ridge,0.003141361256544517,importances_mean,1,Permutation Importance - Ridge
% HH 1 Male 10,Permutation Importance,Ridge,0.013612565445026249,importances_mean,1,Permutation Importance - Ridge
% HH 1 Female 10,Permutation Importance,Ridge,-0.003141361256544473,importances_mean,0,Permutation Importance - Ridge
% HH Married-Child 10,Permutation Importance,Ridge,0.00837696335078537,importances_mean,1,Permutation Importance - Ridge
% HH Married-noChild 10,Permutation Importance,Ridge,0.021989528795811553,importances_mean,1,Permutation Importance - Ridge
% HH Male-Child 10,Permutation Importance,Ridge,0.001047120418848202,importances_mean,1,Permutation Importance - Ridge
% HH Female-Child 10,Permutation Importance,Ridge,0.01570680628272252,importances_mean,1,Permutation Importance - Ridge
% Housing Vacant 10,Permutation Importance,Ridge,0.023036649214659734,importances_mean,1,Permutation Importance - Ridge
% Housing Owner Occup 10,Permutation Importance,Ridge,0.017801047120418877,importances_mean,1,Permutation Importance - Ridge
% Housing Renter Occup 10,Permutation Importance,Ridge,0.024083769633507845,importances_mean,1,Permutation Importance - Ridge
Total Schools Diff,Permutation Importance,Ridge,0.009424083769633551,importances_mean,1,Permutation Importance - Ridge
Total Students Diff,Permutation Importance,Ridge,0.005235602094240876,importances_mean,1,Permutation Importance - Ridge
% Operational Schools Diff,Permutation Importance,Ridge,-0.0010471204188481353,importances_mean,0,Permutation Importance - Ridge
% Title 1 School-wide Diff,Permutation Importance,Ridge,0.001047120418848202,importances_mean,1,Permutation Importance - Ridge
% Title 1 Eligible Diff,Permutation Importance,Ridge,-0.003141361256544473,importances_mean,0,Permutation Importance - Ridge
Teachers:Students Diff,Permutation Importance,Ridge,0.032460732984293215,importances_mean,1,Permutation Importance - Ridge
Staff:Students Diff,Permutation Importance,Ridge,0.006282722513089057,importances_mean,1,Permutation Importance - Ridge
% Free Lunch Diff,Permutation Importance,Ridge,0.01570680628272254,importances_mean,1,Permutation Importance - Ridge
% Reduced-price Lunch Diff,Permutation Importance,Ridge,0.009424083769633529,importances_mean,1,Permutation Importance - Ridge
% Asian Diff,Permutation Importance,Ridge,0.0178010471204189,importances_mean,1,Permutation Importance - Ridge
% Hispanic Diff,Permutation Importance,Ridge,0.014659685863874405,importances_mean,1,Permutation Importance - Ridge
% Black Diff,Permutation Importance,Ridge,0.004188481675392697,importances_mean,1,Permutation Importance - Ridge
% White Diff,Permutation Importance,Ridge,0.009424083769633551,importances_mean,1,Permutation Importance - Ridge
% Grades 1-8 Diff,Permutation Importance,Ridge,0.0020942408376963596,importances_mean,1,Permutation Importance - Ridge
% Grades 9-12 Diff,Permutation Importance,Ridge,0.010471204188481686,importances_mean,1,Permutation Importance - Ridge
% Prek Diff,Permutation Importance,Ridge,0.021989528795811553,importances_mean,1,Permutation Importance - Ridge
% Kinder Diff,Permutation Importance,Ridge,4.4408920985006264e-17,importances_mean,1,Permutation Importance - Ridge
% ADA Diff,Permutation Importance,Ridge,0.009424083769633551,importances_mean,1,Permutation Importance - Ridge
% Tested Reading G3 Diff,Permutation Importance,Ridge,0.02303664921465971,importances_mean,1,Permutation Importance - Ridge
% Tested Reading G4 Diff,Permutation Importance,Ridge,0.007329842931937214,importances_mean,1,Permutation Importance - Ridge
% Tested Reading G5 Diff,Permutation Importance,Ridge,2.2204460492503132e-17,importances_mean,1,Permutation Importance - Ridge
% Tested Reading G6 Diff,Permutation Importance,Ridge,0.025130890052356046,importances_mean,1,Permutation Importance - Ridge
% Tested Reading G7 Diff,Permutation Importance,Ridge,0.007329842931937214,importances_mean,1,Permutation Importance - Ridge
% Tested Reading G8 Diff,Permutation Importance,Ridge,0.0010471204188481798,importances_mean,1,Permutation Importance - Ridge
Locale_11-City: Large,Permutation Importance,Ridge,0.0010471204188482242,importances_mean,1,Permutation Importance - Ridge
Locale_12-City: Mid-size,Permutation Importance,Ridge,-0.003141361256544473,importances_mean,0,Permutation Importance - Ridge
Locale_13-City: Small,Permutation Importance,Ridge,0.0010471204188481798,importances_mean,1,Permutation Importance - Ridge
Locale_21-Suburb: Large,Permutation Importance,Ridge,0.0020942408376963596,importances_mean,1,Permutation Importance - Ridge
Locale_22-Suburb: Mid-size,Permutation Importance,Ridge,0.011518324607329867,importances_mean,1,Permutation Importance - Ridge
Locale_23-Suburb: Small,Permutation Importance,Ridge,0.0,importances_mean,0,Permutation Importance - Ridge
Locale_31-Town: Fringe,Permutation Importance,Ridge,2.2204460492503132e-17,importances_mean,1,Permutation Importance - Ridge
Locale_32-Town: Distant,Permutation Importance,Ridge,0.0010471204188481798,importances_mean,1,Permutation Importance - Ridge
Locale_33-Town: Remote,Permutation Importance,Ridge,4.4408920985006264e-17,importances_mean,1,Permutation Importance - Ridge
Locale_41-Rural: Fringe,Permutation Importance,Ridge,0.008376963350785393,importances_mean,1,Permutation Importance - Ridge
Locale_42-Rural: Distant,Permutation Importance,Ridge,-0.0010471204188481353,importances_mean,0,Permutation Importance - Ridge
Locale_43-Rural: Remote,Permutation Importance,Ridge,0.008376963350785393,importances_mean,1,Permutation Importance - Ridge
Labor Force Diff,RFE,Ridge,24.0,ranking,0,RFE - Ridge
Employed Diff,RFE,Ridge,37.0,ranking,0,RFE - Ridge
Unemployed Level Diff,RFE,Ridge,77.0,ranking,0,RFE - Ridge
Unemployed Rate Diff,RFE,Ridge,38.0,ranking,0,RFE - Ridge
Median Age 10,RFE,Ridge,57.0,ranking,0,RFE - Ridge
Median Age Male 10,RFE,Ridge,76.0,ranking,0,RFE - Ridge
Median Age Female 10,RFE,Ridge,23.0,ranking,0,RFE - Ridge
# of Households 10,RFE,Ridge,82.0,ranking,0,RFE - Ridge
Avg Household Size 10,RFE,Ridge,80.0,ranking,0,RFE - Ridge
# of Families 10,RFE,Ridge,84.0,ranking,0,RFE - Ridge
Avg Family Size 10,RFE,Ridge,69.0,ranking,0,RFE - Ridge
# of Housing Units 10,RFE,Ridge,83.0,ranking,0,RFE - Ridge
County Population,RFE,Ridge,66.0,ranking,0,RFE - Ridge
CARES ESSER I 20,RFE,Ridge,1.0,ranking,1,RFE - Ridge
CRRSA ESSER II 21,RFE,Ridge,1.0,ranking,1,RFE - Ridge
ARP ESSER III 21,RFE,Ridge,1.0,ranking,1,RFE - Ridge
ESSER-SUPP 22,RFE,Ridge,27.0,ranking,0,RFE - Ridge
ESSER-SUPP 23,RFE,Ridge,1.0,ranking,1,RFE - Ridge
% County Infected 09/28/20,RFE,Ridge,8.0,ranking,0,RFE - Ridge
% County Deaths 09/28/20,RFE,Ridge,10.0,ranking,0,RFE - Ridge
% County Infected 10/30/20,RFE,Ridge,9.0,ranking,0,RFE - Ridge
% County Deaths 10/30/20,RFE,Ridge,11.0,ranking,0,RFE - Ridge
% County Infected 01/29/21,RFE,Ridge,79.0,ranking,0,RFE - Ridge
% County Deaths 01/29/21,RFE,Ridge,48.0,ranking,0,RFE - Ridge
% On Campus 09/28/20,RFE,Ridge,64.0,ranking,0,RFE - Ridge
% On Campus 10/30/20,RFE,Ridge,1.0,ranking,1,RFE - Ridge
% On Campus 01/29/21,RFE,Ridge,22.0,ranking,0,RFE - Ridge
% White Pop 10,RFE,Ridge,13.0,ranking,0,RFE - Ridge
% Black Pop 10,RFE,Ridge,36.0,ranking,0,RFE - Ridge
% Asian Pop 10,RFE,Ridge,20.0,ranking,0,RFE - Ridge
% Hispanic Pop 10,RFE,Ridge,21.0,ranking,0,RFE - Ridge
% Male Pop 10,RFE,Ridge,19.0,ranking,0,RFE - Ridge
% Female Pop 10,RFE,Ridge,34.0,ranking,0,RFE - Ridge
% Age 0-4 Pop 10,RFE,Ridge,18.0,ranking,0,RFE - Ridge
% Age 5-9 Pop 10,RFE,Ridge,17.0,ranking,0,RFE - Ridge
% Age 10-14 Pop 10,RFE,Ridge,16.0,ranking,0,RFE - Ridge
% Age 15-19 Pop 10,RFE,Ridge,7.0,ranking,0,RFE - Ridge
% Age 20-24 Pop 10,RFE,Ridge,58.0,ranking,0,RFE - Ridge
% Age 25-34 Pop 10,RFE,Ridge,6.0,ranking,0,RFE - Ridge
% Age 35-44 Pop 10,RFE,Ridge,5.0,ranking,0,RFE - Ridge
% Age 45-54 Pop 10,RFE,Ridge,65.0,ranking,0,RFE - Ridge
% Age 55-64 Pop 10,RFE,Ridge,40.0,ranking,0,RFE - Ridge
% Age 65-74 Pop 10,RFE,Ridge,3.0,ranking,0,RFE - Ridge
% Age 75-84 Pop 10,RFE,Ridge,30.0,ranking,0,RFE - Ridge
% Age 85-Up Pop 10,RFE,Ridge,68.0,ranking,0,RFE - Ridge
% HH 1 Male 10,RFE,Ridge,42.0,ranking,0,RFE - Ridge
% HH 1 Female 10,RFE,Ridge,44.0,ranking,0,RFE - Ridge
% HH Married-Child 10,RFE,Ridge,15.0,ranking,0,RFE - Ridge
% HH Married-noChild 10,RFE,Ridge,35.0,ranking,0,RFE - Ridge
% HH Male-Child 10,RFE,Ridge,59.0,ranking,0,RFE - Ridge
% HH Female-Child 10,RFE,Ridge,41.0,ranking,0,RFE - Ridge
% Housing Vacant 10,RFE,Ridge,32.0,ranking,0,RFE - Ridge
% Housing Owner Occup 10,RFE,Ridge,39.0,ranking,0,RFE - Ridge
% Housing Renter Occup 10,RFE,Ridge,4.0,ranking,0,RFE - Ridge
Total Schools Diff,RFE,Ridge,56.0,ranking,0,RFE - Ridge
Total Students Diff,RFE,Ridge,47.0,ranking,0,RFE - Ridge
% Operational Schools Diff,RFE,Ridge,53.0,ranking,0,RFE - Ridge
% Title 1 School-wide Diff,RFE,Ridge,63.0,ranking,0,RFE - Ridge
% Title 1 Eligible Diff,RFE,Ridge,61.0,ranking,0,RFE - Ridge
Teachers:Students Diff,RFE,Ridge,46.0,ranking,0,RFE - Ridge
Staff:Students Diff,RFE,Ridge,86.0,ranking,0,RFE - Ridge
% Free Lunch Diff,RFE,Ridge,67.0,ranking,0,RFE - Ridge
% Reduced-price Lunch Diff,RFE,Ridge,45.0,ranking,0,RFE - Ridge
% Asian Diff,RFE,Ridge,31.0,ranking,0,RFE - Ridge
% Hispanic Diff,RFE,Ridge,50.0,ranking,0,RFE - Ridge
% Black Diff,RFE,Ridge,75.0,ranking,0,RFE - Ridge
% White Diff,RFE,Ridge,49.0,ranking,0,RFE - Ridge
% Grades 1-8 Diff,RFE,Ridge,78.0,ranking,0,RFE - Ridge
% Grades 9-12 Diff,RFE,Ridge,85.0,ranking,0,RFE - Ridge
% Prek Diff,RFE,Ridge,60.0,ranking,0,RFE - Ridge
% Kinder Diff,RFE,Ridge,55.0,ranking,0,RFE - Ridge
% ADA Diff,RFE,Ridge,81.0,ranking,0,RFE - Ridge
% Tested Reading G3 Diff,RFE,Ridge,72.0,ranking,0,RFE - Ridge
% Tested Reading G4 Diff,RFE,Ridge,71.0,ranking,0,RFE - Ridge
% Tested Reading G5 Diff,RFE,Ridge,73.0,ranking,0,RFE - Ridge
% Tested Reading G6 Diff,RFE,Ridge,29.0,ranking,0,RFE - Ridge
% Tested Reading G7 Diff,RFE,Ridge,28.0,ranking,0,RFE - Ridge
% Tested Reading G8 Diff,RFE,Ridge,54.0,ranking,0,RFE - Ridge
Locale_11-City: Large,RFE,Ridge,12.0,ranking,0,RFE - Ridge
Locale_12-City: Mid-size,RFE,Ridge,51.0,ranking,0,RFE - Ridge
Locale_13-City: Small,RFE,Ridge,43.0,ranking,0,RFE - Ridge
Locale_21-Suburb: Large,RFE,Ridge,14.0,ranking,0,RFE - Ridge
Locale_22-Suburb: Mid-size,RFE,Ridge,33.0,ranking,0,RFE - Ridge
Locale_23-Suburb: Small,RFE,Ridge,2.0,ranking,0,RFE - Ridge
Locale_31-Town: Fringe,RFE,Ridge,52.0,ranking,0,RFE - Ridge
Locale_32-Town: Distant,RFE,Ridge,74.0,ranking,0,RFE - Ridge
Locale_33-Town: Remote,RFE,Ridge,62.0,ranking,0,RFE - Ridge
Locale_41-Rural: Fringe,RFE,Ridge,70.0,ranking,0,RFE - Ridge
Locale_42-Rural: Distant,RFE,Ridge,25.0,ranking,0,RFE - Ridge
Locale_43-Rural: Remote,RFE,Ridge,26.0,ranking,0,RFE - Ridge
Labor Force Diff,RFE,Random Forest,1.0,ranking,1,RFE - Random Forest
Employed Diff,RFE,Random Forest,1.0,ranking,1,RFE - Random Forest
Unemployed Level Diff,RFE,Random Forest,1.0,ranking,1,RFE - Random Forest
Unemployed Rate Diff,RFE,Random Forest,6.0,ranking,0,RFE - Random Forest
Median Age 10,RFE,Random Forest,13.0,ranking,0,RFE - Random Forest
Median Age Male 10,RFE,Random Forest,34.0,ranking,0,RFE - Random Forest
Median Age Female 10,RFE,Random Forest,1.0,ranking,1,RFE - Random Forest
# of Households 10,RFE,Random Forest,37.0,ranking,0,RFE - Random Forest
Avg Household Size 10,RFE,Random Forest,1.0,ranking,1,RFE - Random Forest
# of Families 10,RFE,Random Forest,1.0,ranking,1,RFE - Random Forest
Avg Family Size 10,RFE,Random Forest,21.0,ranking,0,RFE - Random Forest
# of Housing Units 10,RFE,Random Forest,26.0,ranking,0,RFE - Random Forest
County Population,RFE,Random Forest,30.0,ranking,0,RFE - Random Forest
CARES ESSER I 20,RFE,Random Forest,1.0,ranking,1,RFE - Random Forest
CRRSA ESSER II 21,RFE,Random Forest,1.0,ranking,1,RFE - Random Forest
ARP ESSER III 21,RFE,Random Forest,1.0,ranking,1,RFE - Random Forest
ESSER-SUPP 22,RFE,Random Forest,44.0,ranking,0,RFE - Random Forest
ESSER-SUPP 23,RFE,Random Forest,42.0,ranking,0,RFE - Random Forest
% County Infected 09/28/20,RFE,Random Forest,1.0,ranking,1,RFE - Random Forest
% County Deaths 09/28/20,RFE,Random Forest,7.0,ranking,0,RFE - Random Forest
% County Infected 10/30/20,RFE,Random Forest,12.0,ranking,0,RFE - Random Forest
% County Deaths 10/30/20,RFE,Random Forest,18.0,ranking,0,RFE - Random Forest
% County Infected 01/29/21,RFE,Random Forest,24.0,ranking,0,RFE - Random Forest
% County Deaths 01/29/21,RFE,Random Forest,16.0,ranking,0,RFE - Random Forest
% On Campus 09/28/20,RFE,Random Forest,1.0,ranking,1,RFE - Random Forest
% On Campus 10/30/20,RFE,Random Forest,1.0,ranking,1,RFE - Random Forest
% On Campus 01/29/21,RFE,Random Forest,1.0,ranking,1,RFE - Random Forest
% White Pop 10,RFE,Random Forest,3.0,ranking,0,RFE - Random Forest
% Black Pop 10,RFE,Random Forest,22.0,ranking,0,RFE - Random Forest
% Asian Pop 10,RFE,Random Forest,20.0,ranking,0,RFE - Random Forest
% Hispanic Pop 10,RFE,Random Forest,10.0,ranking,0,RFE - Random Forest
% Male Pop 10,RFE,Random Forest,1.0,ranking,1,RFE - Random Forest
% Female Pop 10,RFE,Random Forest,14.0,ranking,0,RFE - Random Forest
% Age 0-4 Pop 10,RFE,Random Forest,40.0,ranking,0,RFE - Random Forest
% Age 5-9 Pop 10,RFE,Random Forest,32.0,ranking,0,RFE - Random Forest
% Age 10-14 Pop 10,RFE,Random Forest,5.0,ranking,0,RFE - Random Forest
% Age 15-19 Pop 10,RFE,Random Forest,19.0,ranking,0,RFE - Random Forest
% Age 20-24 Pop 10,RFE,Random Forest,29.0,ranking,0,RFE - Random Forest
% Age 25-34 Pop 10,RFE,Random Forest,27.0,ranking,0,RFE - Random Forest
% Age 35-44 Pop 10,RFE,Random Forest,1.0,ranking,1,RFE - Random Forest
% Age 45-54 Pop 10,RFE,Random Forest,15.0,ranking,0,RFE - Random Forest
% Age 55-64 Pop 10,RFE,Random Forest,33.0,ranking,0,RFE - Random Forest
% Age 65-74 Pop 10,RFE,Random Forest,9.0,ranking,0,RFE - Random Forest
% Age 75-84 Pop 10,RFE,Random Forest,17.0,ranking,0,RFE - Random Forest
% Age 85-Up Pop 10,RFE,Random Forest,2.0,ranking,0,RFE - Random Forest
